danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.493,0.521,3,-14.209,1,0.103,0.919,0.127,0.4,0.621,133.524,204754,4,bollywood
0.514,0.616,9,-12.812,1,0.0527,0.503,0.0128,0.0585,0.737,134.455,305387,4,bollywood
0.302,0.337,2,-11.149,1,0.036,0.236,5.54E-06,0.0747,0.148,162.203,177792,4,bollywood
0.162,0.095,11,-19.593,0,0.0381,0.977,0.457,0.118,0.0373,73.678,695569,4,classical
0.7,0.456,4,-10.215,1,0.353,0.764,0,0.163,0.635,132.27,126147,4,rock
0.834,0.627,9,-10.802,0,0.0346,0.476,0.51,0.11,0.879,112.149,157067,4,rock
0.377,0.638,1,-4.907,0,0.0373,0.787,0,0.099,0.427,142.136,214667,3,bollywood
0.342,0.0036,4,-36.533,1,0.058,0.994,0.868,0.0814,0.121,68.23,190227,3,classical
0.802,0.847,10,-1.936,1,0.129,0.00231,0,0.358,0.492,140.16,221281,4,hip-hop
0.797,0.362,6,-10.476,0,0.0312,0.838,4.00E-05,0.0898,0.566,106.877,232773,4,rock
0.822,0.555,8,-7.866,1,0.347,0.43,0,0.0816,0.223,125.139,242468,4,hip-hop
0.43,0.89,2,-6.089,1,0.133,0.0741,0.023,0.488,0.266,159.92,284587,4,rock
0.17,0.00305,1,-41.595,0,0.0431,0.994,0.905,0.12,0.155,63.949,428067,4,classical
0.391,0.34,2,-12.552,1,0.0412,0.949,0.827,0.11,0.501,136.602,210107,4,classical
0.437,0.798,8,-6.403,1,0.113,0.0533,4.13E-06,0.916,0.447,141.27,189907,4,rock
0.194,0.207,3,-14.197,1,0.0385,0.597,0.785,0.253,0.092,62.533,164268,4,classical
0.637,0.786,7,-5.12,1,0.025,0.00257,0.0162,0.304,0.805,107.981,233039,4,rock
0.667,0.29,5,-13.869,1,0.615,0.237,0,0.186,0.368,98.559,92078,3,hip-hop
0.88,0.488,7,-13.407,1,0.721,0.514,0,0.0829,0.546,150.33,151000,4,hip-hop
0.677,0.62,0,-7.048,1,0.0746,0.0169,0.00274,0.038,0.643,119.343,199053,5,hip-hop
0.187,0.115,9,-21.464,0,0.04,0.973,0.534,0.108,0.0932,137.684,198187,3,classical
0.552,0.964,8,-3.311,1,0.125,0.00754,0.00111,0.683,0.372,127.975,236947,4,dance
0.424,0.74,9,-10.466,0,0.0305,0.777,0.961,0.11,0.188,96.996,336999,4,dance
0.546,0.931,11,-4.318,1,0.0468,0.00204,0.955,0.343,0.817,159.872,259907,4,rock
0.737,0.952,5,-4.596,1,0.0332,0.0911,1.70E-05,0.0681,0.883,130.008,313453,4,dance
0.484,0.369,4,-14.688,0,0.0301,0.692,0,0.093,0.355,183.897,224633,3,rock
0.663,0.802,1,-6.319,1,0.0532,0.178,0.00267,0.293,0.601,89.992,151080,4,dance
